연번,정류장,예정시간,실제도착시간,지연(분)
2,안심역(4번출구),2020-01-06 07:30:00,2020-01-06 07:24:05,-5.92
2,하양역,2020-01-06 07:40:00,2020-01-06 07:39:00,-1.0
2,대구대정문 건너,2020-01-06 07:50:00,2020-01-06 07:44:10,-5.83
2,진량황제A,2020-01-06 08:10:00,2020-01-06 17:37:11,567.18
3,진량황제A(진량방향),2020-01-02 06:00:00,2020-01-02 05:56:04,-3.93
3,대구대정문 건너,2020-01-02 06:15:00,2020-01-02 06:10:04,-4.93
3,하양역 건너,2020-01-02 06:25:00,2020-01-02 06:29:12,4.2
3,상공회의소건너,2020-01-02 07:30:00,2020-01-02 07:31:56,1.93
3,안심역(4번출구),2020-01-02 08:10:00,2020-01-02 08:12:09,2.15
3,하양역,2020-01-02 08:25:00,2020-01-02 08:23:58,-1.03
3,대구대정문 건너,2020-01-02 08:40:00,2020-01-02 08:34:43,-5.28
3,진량황제A(진량방향),2020-01-03 06:00:00,2020-01-03 05:54:52,-5.13
3,대구대정문 건너,2020-01-03 06:15:00,2020-01-03 06:07:10,-7.83
3,하양역 건너,2020-01-03 06:25:00,2020-01-03 06:29:13,4.22
3,상공회의소건너,2020-01-03 07:30:00,2020-01-03 07:28:12,-1.8
3,안심역(4번출구),2020-01-03 08:10:00,2020-01-03 08:02:53,-7.12
3,하양역,2020-01-03 08:25:00,2020-01-03 08:17:29,-7.52
3,대구대정문 건너,2020-01-03 08:40:00,2020-01-03 08:51:11,11.18
3,진량황제A(진량방향),2020-01-06 06:00:00,2020-01-06 06:18:16,18.27
3,대구대정문 건너,2020-01-06 06:15:00,2020-01-06 06:06:31,-8.48
3,하양역 건너,2020-01-06 06:25:00,2020-01-06 06:32:07,7.12
3,상공회의소건너,2020-01-06 07:30:00,2020-01-06 07:28:03,-1.95
3,안심역(4번출구),2020-01-06 08:10:00,2020-01-06 08:12:10,2.17
3,하양역,2020-01-06 08:25:00,2020-01-06 08:27:05,2.08
3,대구대정문 건너,2020-01-06 08:40:00,2020-01-06 08:38:56,-1.07
4,진량황제A(진량방향),2020-01-02 06:15:00,2020-01-02 06:18:11,3.18
4,대구대정문 건너,2020-01-02 06:35:00,2020-01-02 06:30:35,-4.42
4,하양역 건너,2020-01-02 06:45:00,2020-01-02 06:41:17,-3.72
4,상공회의소건너,2020-01-02 07:50:00,2020-01-02 07:55:13,5.22
4,안심역(4번출구),2020-01-02 08:30:00,2020-01-02 08:33:02,3.03
4,하양역,2020-01-02 08:45:00,2020-01-02 08:45:24,0.4
4,대구대정문 건너,2020-01-02 09:00:00,2020-01-02 08:53:41,-6.32
4,진량황제A(진량방향),2020-01-03 06:15:00,2020-01-03 06:13:59,-1.02
4,대구대정문 건너,2020-01-03 06:35:00,2020-01-03 06:31:22,-3.63
4,하양역 건너,2020-01-03 06:45:00,2020-01-03 06:41:25,-3.58
4,상공회의소건너,2020-01-03 07:50:00,2020-01-03 07:55:12,5.2
4,안심역(4번출구),2020-01-03 08:30:00,2020-01-03 08:35:51,5.85
4,하양역,2020-01-03 08:45:00,2020-01-03 08:50:33,5.55
4,대구대정문 건너,2020-01-03 09:00:00,2020-01-03 08:51:32,-8.47
4,진량황제A(진량방향),2020-01-06 06:15:00,2020-01-06 06:18:16,3.27
4,대구대정문 건너,2020-01-06 06:35:00,2020-01-06 06:30:15,-4.75
4,하양역 건너,2020-01-06 06:45:00,2020-01-06 06:39:13,-5.78
4,상공회의소건너,2020-01-06 07:50:00,2020-01-06 07:48:46,-1.23
4,안심역(4번출구),2020-01-06 08:30:00,2020-01-06 08:33:08,3.13
4,하양역,2020-01-06 08:45:00,2020-01-06 08:48:21,3.35
4,대구대정문 건너,2020-01-06 09:00:00,2020-01-06 09:03:13,3.22
5,진량황제A(진량방향),2020-01-02 06:30:00,2020-01-02 06:37:57,7.95
5,대구대정문 건너,2020-01-02 06:50:00,2020-01-02 06:54:44,4.73
5,하양역 건너,2020-01-02 07:00:00,2020-01-02 07:02:17,2.28
5,상공회의소건너,2020-01-02 08:10:00,2020-01-02 08:09:52,-0.13
5,안심역(4번출구),2020-01-02 08:50:00,2020-01-02 08:50:52,0.87
5,하양역,2020-01-02 09:05:00,2020-01-02 09:02:37,-2.38
5,대구대정문 건너,2020-01-02 09:20:00,2020-01-02 09:26:30,6.5
5,진량황제A(진량방향),2020-01-03 06:30:00,2020-01-03 06:40:21,10.35
5,대구대정문 건너,2020-01-03 06:50:00,2020-01-03 06:55:10,5.17
5,하양역 건너,2020-01-03 07:00:00,2020-01-03 07:00:51,0.85
5,상공회의소건너,2020-01-03 08:10:00,2020-01-03 08:13:35,3.58
5,안심역(4번출구),2020-01-03 08:50:00,2020-01-03 08:53:51,3.85
5,하양역,2020-01-03 09:05:00,2020-01-03 09:05:40,0.67
5,대구대정문 건너,2020-01-03 09:20:00,2020-01-03 09:16:39,-3.35
5,진량황제A(진량방향),2020-01-06 06:30:00,2020-01-06 06:40:21,10.35
5,대구대정문 건너,2020-01-06 06:50:00,2020-01-06 06:56:09,6.15
5,하양역 건너,2020-01-06 07:00:00,2020-01-06 07:02:02,2.03
5,상공회의소건너,2020-01-06 08:10:00,2020-01-06 08:06:49,-3.18
5,안심역(4번출구),2020-01-06 08:50:00,2020-01-06 08:47:51,-2.15
5,하양역,2020-01-06 09:05:00,2020-01-06 09:02:30,-2.5
5,대구대정문 건너,2020-01-06 09:20:00,2020-01-06 09:26:08,6.13
6,진량황제A(진량방향),2020-01-02 06:45:00,2020-01-02 06:37:57,-7.05
6,대구대정문 건너,2020-01-02 07:05:00,2020-01-02 06:54:44,-10.27
6,하양역 건너,2020-01-02 07:15:00,2020-01-02 07:13:09,-1.85
6,상공회의소건너,2020-01-02 08:25:00,2020-01-02 08:31:59,6.98
6,안심역(4번출구),2020-01-02 09:05:00,2020-01-02 09:08:59,3.98
6,하양역,2020-01-02 09:20:00,2020-01-02 09:20:38,0.63
6,대구대정문 건너,2020-01-02 09:35:00,2020-01-02 09:34:19,-0.68
6,진량황제A(진량방향),2020-01-03 06:45:00,2020-01-03 06:40:21,-4.65
6,대구대정문 건너,2020-01-03 07:05:00,2020-01-03 07:08:42,3.7
6,하양역 건너,2020-01-03 07:15:00,2020-01-03 07:15:44,0.73
6,상공회의소건너,2020-01-03 08:25:00,2020-01-03 08:29:22,4.37
6,안심역(4번출구),2020-01-03 09:05:00,2020-01-03 09:03:05,-1.92
6,하양역,2020-01-03 09:20:00,2020-01-03 09:14:46,-5.23
6,대구대정문 건너,2020-01-03 09:35:00,2020-01-03 09:32:13,-2.78
6,진량황제A(진량방향),2020-01-06 06:45:00,2020-01-06 06:40:21,-4.65
6,대구대정문 건너,2020-01-06 07:05:00,2020-01-06 07:06:17,1.28
6,하양역 건너,2020-01-06 07:15:00,2020-01-06 07:07:29,-7.52
6,상공회의소건너,2020-01-06 08:25:00,2020-01-06 08:31:45,6.75
6,안심역(4번출구),2020-01-06 09:05:00,2020-01-06 09:05:53,0.88
6,하양역,2020-01-06 09:20:00,2020-01-06 09:29:47,9.78
6,대구대정문 건너,2020-01-06 09:35:00,2020-01-06 09:40:54,5.9
7,진량황제A(진량방향),2020-01-02 07:00:00,2020-01-02 07:03:27,3.45
7,대구대정문 건너,2020-01-02 07:20:00,2020-01-02 07:19:15,-0.75
7,하양역 건너,2020-01-02 07:30:00,2020-01-02 07:30:14,0.23
7,상공회의소건너,2020-01-02 08:40:00,2020-01-02 08:39:35,-0.42
7,안심역(4번출구),2020-01-02 09:20:00,2020-01-02 09:23:58,3.97
7,하양역,2020-01-02 09:40:00,2020-01-02 09:35:29,-4.52
7,대구대정문 건너,2020-01-02 09:55:00,2020-01-02 09:48:49,-6.18
7,진량황제A(진량방향),2020-01-03 07:00:00,2020-01-03 07:00:55,0.92
7,대구대정문 건너,2020-01-03 07:20:00,2020-01-03 07:20:10,0.17
7,하양역 건너,2020-01-03 07:30:00,2020-01-03 07:30:18,0.3
7,상공회의소건너,2020-01-03 08:40:00,2020-01-03 08:40:12,0.2
7,안심역(4번출구),2020-01-03 09:20:00,2020-01-03 09:17:59,-2.02
7,하양역,2020-01-03 09:40:00,2020-01-03 09:46:15,6.25
7,대구대정문 건너,2020-01-03 09:55:00,2020-01-03 09:52:53,-2.12
7,진량황제A(진량방향),2020-01-06 07:00:00,2020-01-06 07:01:47,1.78
7,대구대정문 건너,2020-01-06 07:20:00,2020-01-06 07:20:14,0.23
7,하양역 건너,2020-01-06 07:30:00,2020-01-06 07:30:49,0.82
7,상공회의소건너,2020-01-06 08:40:00,2020-01-06 08:35:30,-4.5
7,안심역(4번출구),2020-01-06 09:20:00,2020-01-06 09:14:42,-5.3
7,하양역,2020-01-06 09:40:00,2020-01-06 09:46:35,6.58
7,대구대정문 건너,2020-01-06 09:55:00,2020-01-06 09:53:15,-1.75
8,진량황제A(진량방향),2020-01-02 07:10:00,2020-01-02 07:03:27,-6.55
8,대구대정문 건너,2020-01-02 07:30:00,2020-01-02 07:28:11,-1.82
8,하양역 건너,2020-01-02 07:40:00,2020-01-02 07:36:22,-3.63
8,상공회의소건너,2020-01-02 08:50:00,2020-01-02 08:48:49,-1.18
8,안심역(4번출구),2020-01-02 09:30:00,2020-01-02 09:23:58,-6.03
8,하양역,2020-01-02 09:50:00,2020-01-02 09:58:14,8.23
8,대구대정문 건너,2020-01-02 10:05:00,2020-01-02 10:10:50,5.83
8,진량황제A(진량방향),2020-01-03 07:10:00,2020-01-03 07:00:55,-9.08
8,대구대정문 건너,2020-01-03 07:30:00,2020-01-03 07:30:54,0.9
8,하양역 건너,2020-01-03 07:40:00,2020-01-03 07:38:50,-1.17
8,상공회의소건너,2020-01-03 08:50:00,2020-01-03 08:51:54,1.9
8,안심역(4번출구),2020-01-03 09:30:00,2020-01-03 09:30:07,0.12
8,하양역,2020-01-03 09:50:00,2020-01-03 09:46:15,-3.75
8,대구대정문 건너,2020-01-03 10:05:00,2020-01-03 10:12:41,7.68
8,진량황제A(진량방향),2020-01-06 07:10:00,2020-01-06 07:01:47,-8.22
8,대구대정문 건너,2020-01-06 07:30:00,2020-01-06 07:20:14,-9.77
8,하양역 건너,2020-01-06 07:40:00,2020-01-06 07:39:47,-0.22
8,상공회의소건너,2020-01-06 08:50:00,2020-01-06 08:55:46,5.77
8,안심역(4번출구),2020-01-06 09:30:00,2020-01-06 09:30:14,0.23
8,하양역,2020-01-06 09:50:00,2020-01-06 09:46:35,-3.42
8,대구대정문 건너,2020-01-06 10:05:00,2020-01-06 09:53:15,-11.75
9,진량황제A(진량방향),2020-01-02 07:20:00,2020-01-02 07:24:10,4.17
9,대구대정문 건너,2020-01-02 07:40:00,2020-01-02 07:38:25,-1.58
9,하양역 건너,2020-01-02 07:50:00,2020-01-02 07:51:34,1.57
9,상공회의소건너,2020-01-02 09:00:00,2020-01-02 09:06:50,6.83
9,안심역(4번출구),2020-01-02 09:40:00,2020-01-02 09:45:07,5.12
9,하양역,2020-01-02 10:00:00,2020-01-02 09:58:14,-1.77
9,대구대정문 건너,2020-01-02 10:15:00,2020-01-02 10:10:53,-4.12
9,진량황제A(진량방향),2020-01-03 07:20:00,2020-01-03 07:25:25,5.42
9,대구대정문 건너,2020-01-03 07:40:00,2020-01-03 07:44:16,4.27
9,하양역 건너,2020-01-03 07:50:00,2020-01-03 07:54:10,4.17
9,상공회의소건너,2020-01-03 09:00:00,2020-01-03 08:51:54,-8.1
9,안심역(4번출구),2020-01-03 09:40:00,2020-01-03 09:30:07,-9.88
9,하양역,2020-01-03 10:00:00,2020-01-03 10:03:31,3.52
9,대구대정문 건너,2020-01-03 10:15:00,2020-01-03 10:12:47,-2.22
9,진량황제A(진량방향),2020-01-06 07:20:00,2020-01-06 07:24:50,4.83
9,대구대정문 건너,2020-01-06 07:40:00,2020-01-06 07:44:10,4.17
9,하양역 건너,2020-01-06 07:50:00,2020-01-06 07:57:55,7.92
9,상공회의소건너,2020-01-06 09:00:00,2020-01-06 08:55:46,-4.23
9,안심역(4번출구),2020-01-06 09:40:00,2020-01-06 09:30:14,-9.77
9,하양역,2020-01-06 10:00:00,2020-01-06 10:03:43,3.72
9,대구대정문 건너,2020-01-06 10:15:00,2020-01-06 10:16:50,1.83
11,진량황제A(진량방향),2020-01-02 07:30:00,2020-01-02 07:24:10,-5.83
11,대구대정문 건너,2020-01-02 07:50:00,2020-01-02 07:54:51,4.85
11,하양역 건너,2020-01-02 08:00:00,2020-01-02 08:03:25,3.42
11,상공회의소건너,2020-01-02 09:10:00,2020-01-02 09:12:05,2.08
11,안심역(4번출구),2020-01-02 09:50:00,2020-01-02 09:47:52,-2.13
11,하양역,2020-01-02 10:10:00,2020-01-02 10:03:14,-6.77
11,대구대정문 건너,2020-01-02 10:25:00,2020-01-02 10:28:27,3.45
11,진량황제A(진량방향),2020-01-03 07:30:00,2020-01-03 07:25:25,-4.58
11,대구대정문 건너,2020-01-03 07:50:00,2020-01-03 07:54:47,4.78
11,하양역 건너,2020-01-03 08:00:00,2020-01-03 08:00:59,0.98
11,상공회의소건너,2020-01-03 09:10:00,2020-01-03 09:09:34,-0.43
11,안심역(4번출구),2020-01-03 09:50:00,2020-01-03 09:50:46,0.77
11,하양역,2020-01-03 10:10:00,2020-01-03 10:03:31,-6.48
11,대구대정문 건너,2020-01-03 10:25:00,2020-01-03 10:21:51,-3.15
11,진량황제A(진량방향),2020-01-06 07:30:00,2020-01-06 07:24:50,-5.17
11,대구대정문 건너,2020-01-06 07:50:00,2020-01-06 07:44:10,-5.83
11,하양역 건너,2020-01-06 08:00:00,2020-01-06 07:57:55,-2.08
11,상공회의소건너,2020-01-06 09:10:00,2020-01-06 09:13:42,3.7
11,안심역(4번출구),2020-01-06 09:50:00,2020-01-06 09:51:00,1.0
11,하양역,2020-01-06 10:10:00,2020-01-06 10:03:43,-6.28
11,대구대정문 건너,2020-01-06 10:25:00,2020-01-06 10:16:50,-8.17
12,대구대정문 건너,2020-01-02 08:10:00,2020-01-02 08:18:50,8.83
12,하양역 건너,2020-01-02 08:20:00,2020-01-02 08:12:51,-7.15
12,상공회의소건너,2020-01-02 09:30:00,2020-01-02 09:31:55,1.92
12,안심역(4번출구),2020-01-02 10:10:00,2020-01-02 10:10:41,0.68
12,하양역,2020-01-02 10:25:00,2020-01-02 10:23:09,-1.85
12,대구대정문 건너,2020-01-02 10:40:00,2020-01-02 10:35:11,-4.82
12,대구대정문 건너,2020-01-03 08:10:00,2020-01-03 08:04:43,-5.28
12,하양역 건너,2020-01-03 08:20:00,2020-01-03 08:24:10,4.17
12,상공회의소건너,2020-01-03 09:30:00,2020-01-03 09:28:45,-1.25
12,안심역(4번출구),2020-01-03 10:10:00,2020-01-03 10:07:57,-2.05
12,하양역,2020-01-03 10:25:00,2020-01-03 10:23:45,-1.25
12,대구대정문 건너,2020-01-03 10:40:00,2020-01-03 10:36:25,-3.58
12,대구대정문 건너,2020-01-06 08:10:00,2020-01-06 08:06:58,-3.03
12,하양역 건너,2020-01-06 08:20:00,2020-01-06 08:10:26,-9.57
12,상공회의소건너,2020-01-06 09:30:00,2020-01-06 09:37:12,7.2
12,안심역(4번출구),2020-01-06 10:10:00,2020-01-06 10:13:32,3.53
12,하양역,2020-01-06 10:25:00,2020-01-06 10:26:23,1.38
12,대구대정문 건너,2020-01-06 10:40:00,2020-01-06 10:40:38,0.63
13,대구대정문 건너,2020-01-02 08:30:00,2020-01-02 08:31:11,1.18
13,하양역 건너,2020-01-02 08:40:00,2020-01-02 08:36:46,-3.23
13,상공회의소건너,2020-01-02 09:50:00,2020-01-02 09:49:29,-0.52
13,안심역(4번출구),2020-01-02 10:30:00,2020-01-02 10:22:20,-7.67
13,하양역,2020-01-02 10:45:00,2020-01-02 10:40:20,-4.67
13,대구대정문 건너,2020-01-02 11:00:00,2020-01-02 10:56:36,-3.4
13,대구대정문 건너,2020-01-03 08:30:00,2020-01-03 08:28:37,-1.38
13,하양역 건너,2020-01-03 08:40:00,2020-01-03 08:39:27,-0.55
13,상공회의소건너,2020-01-03 09:50:00,2020-01-03 09:46:25,-3.58
13,안심역(4번출구),2020-01-03 10:30:00,2020-01-03 10:24:59,-5.02
13,하양역,2020-01-03 10:45:00,2020-01-03 10:40:52,-4.13
13,대구대정문 건너,2020-01-03 11:00:00,2020-01-03 10:59:01,-0.98
13,대구대정문 건너,2020-01-06 08:30:00,2020-01-06 08:30:24,0.4
13,하양역 건너,2020-01-06 08:40:00,2020-01-06 08:39:48,-0.2
13,상공회의소건너,2020-01-06 09:50:00,2020-01-06 09:46:10,-3.83
13,안심역(4번출구),2020-01-06 10:30:00,2020-01-06 10:36:44,6.73
13,하양역,2020-01-06 10:45:00,2020-01-06 10:51:38,6.63
13,대구대정문 건너,2020-01-06 11:00:00,2020-01-06 11:03:00,3.0
14,대구대정문 건너,2020-01-02 08:50:00,2020-01-02 08:53:41,3.68
14,하양역 건너,2020-01-02 09:00:00,2020-01-02 09:03:25,3.42
14,상공회의소건너,2020-01-02 10:10:00,2020-01-02 10:12:43,2.72
14,안심역(4번출구),2020-01-02 10:50:00,2020-01-02 10:47:58,-2.03
14,하양역,2020-01-02 11:05:00,2020-01-02 11:03:18,-1.7
14,대구대정문 건너,2020-01-02 11:20:00,2020-01-02 11:21:44,1.73
14,대구대정문 건너,2020-01-03 08:50:00,2020-01-03 08:51:11,1.18
14,하양역 건너,2020-01-03 09:00:00,2020-01-03 09:02:57,2.95
14,상공회의소건너,2020-01-03 10:10:00,2020-01-03 10:08:37,-1.38
14,안심역(4번출구),2020-01-03 10:50:00,2020-01-03 10:47:38,-2.37
14,하양역,2020-01-03 11:05:00,2020-01-03 11:08:55,3.92
14,대구대정문 건너,2020-01-03 11:20:00,2020-01-03 11:20:17,0.28
14,대구대정문 건너,2020-01-06 08:50:00,2020-01-06 08:49:25,-0.58
14,하양역 건너,2020-01-06 09:00:00,2020-01-06 09:01:08,1.13
14,상공회의소건너,2020-01-06 10:10:00,2020-01-06 10:13:21,3.35
14,안심역(4번출구),2020-01-06 10:50:00,2020-01-06 10:47:39,-2.35
14,하양역,2020-01-06 11:05:00,2020-01-06 11:00:01,-4.98
14,대구대정문 건너,2020-01-06 11:20:00,2020-01-06 11:23:00,3.0
15,대구대정문 건너,2020-01-02 09:15:00,2020-01-02 09:12:58,-2.03
15,하양역 건너,2020-01-02 09:25:00,2020-01-02 09:31:01,6.02
15,상공회의소건너,2020-01-02 10:35:00,2020-01-02 10:32:51,-2.15
15,안심역(4번출구),2020-01-02 11:15:00,2020-01-02 11:16:27,1.45
15,하양역,2020-01-02 11:30:00,2020-01-02 11:30:59,0.98
15,대구대정문 건너,2020-01-02 11:45:00,2020-01-02 11:55:06,10.1
15,대구대정문 건너,2020-01-03 09:15:00,2020-01-03 09:16:39,1.65
15,하양역 건너,2020-01-03 09:25:00,2020-01-03 09:27:53,2.88
15,상공회의소건너,2020-01-03 10:35:00,2020-01-03 10:42:16,7.27
15,안심역(4번출구),2020-01-03 11:15:00,2020-01-03 11:18:50,3.83
15,하양역,2020-01-03 11:30:00,2020-01-03 11:34:00,4.0
15,대구대정문 건너,2020-01-03 11:45:00,2020-01-03 11:57:29,12.48
15,대구대정문 건너,2020-01-06 09:15:00,2020-01-06 09:04:41,-10.32
15,하양역 건너,2020-01-06 09:25:00,2020-01-06 09:15:53,-9.12
15,상공회의소건너,2020-01-06 10:35:00,2020-01-06 10:40:03,5.05
15,안심역(4번출구),2020-01-06 11:15:00,2020-01-06 11:19:22,4.37
15,하양역,2020-01-06 11:30:00,2020-01-06 11:34:04,4.07
15,대구대정문 건너,2020-01-06 11:45:00,2020-01-06 11:47:01,2.02
16,대구대정문 건너,2020-01-02 09:35:00,2020-01-02 09:34:19,-0.68
16,하양역 건너,2020-01-02 09:45:00,2020-01-02 09:44:10,-0.83
16,상공회의소건너,2020-01-02 10:55:00,2020-01-02 10:56:17,1.28
16,안심역(4번출구),2020-01-02 11:35:00,2020-01-02 11:30:12,-4.8
16,하양역,2020-01-02 11:50:00,2020-01-02 11:44:47,-5.22
16,대구대정문 건너,2020-01-02 12:05:00,2020-01-02 12:08:48,3.8
16,대구대정문 건너,2020-01-03 09:35:00,2020-01-03 09:32:13,-2.78
16,하양역 건너,2020-01-03 09:45:00,2020-01-03 09:43:36,-1.4
16,상공회의소건너,2020-01-03 10:55:00,2020-01-03 10:56:24,1.4
16,안심역(4번출구),2020-01-03 11:35:00,2020-01-03 11:33:02,-1.97
16,하양역,2020-01-03 11:50:00,2020-01-03 11:45:22,-4.63
16,대구대정문 건너,2020-01-03 12:05:00,2020-01-03 12:04:38,-0.37
16,대구대정문 건너,2020-01-06 09:35:00,2020-01-06 09:40:54,5.9
16,하양역 건너,2020-01-06 09:45:00,2020-01-06 09:40:45,-4.25
16,상공회의소건너,2020-01-06 10:55:00,2020-01-06 10:56:44,1.73
16,안심역(4번출구),2020-01-06 11:35:00,2020-01-06 11:35:43,0.72
16,하양역,2020-01-06 11:50:00,2020-01-06 11:48:51,-1.15
16,대구대정문 건너,2020-01-06 12:05:00,2020-01-06 12:02:39,-2.35
17,대구대정문 건너,2020-01-02 09:55:00,2020-01-02 09:48:49,-6.18
17,하양역 건너,2020-01-02 10:05:00,2020-01-02 10:06:44,1.73
17,상공회의소건너,2020-01-02 11:15:00,2020-01-02 11:09:13,-5.78
17,안심역(4번출구),2020-01-02 11:55:00,2020-01-02 12:01:33,6.55
17,하양역,2020-01-02 12:10:00,2020-01-02 12:13:46,3.77
17,대구대정문 건너,2020-01-02 12:25:00,2020-01-02 12:26:41,1.68
17,대구대정문 건너,2020-01-03 09:55:00,2020-01-03 09:52:53,-2.12
17,하양역 건너,2020-01-03 10:05:00,2020-01-03 10:03:37,-1.38
17,상공회의소건너,2020-01-03 11:15:00,2020-01-03 11:14:34,-0.43
17,안심역(4번출구),2020-01-03 11:55:00,2020-01-03 11:55:29,0.48
17,하양역,2020-01-03 12:10:00,2020-01-03 12:08:08,-1.87
17,대구대정문 건너,2020-01-03 12:25:00,2020-01-03 12:21:08,-3.87
17,대구대정문 건너,2020-01-06 09:55:00,2020-01-06 09:53:15,-1.75
17,하양역 건너,2020-01-06 10:05:00,2020-01-06 10:07:23,2.38
17,상공회의소건너,2020-01-06 11:15:00,2020-01-06 11:17:53,2.88
17,안심역(4번출구),2020-01-06 11:55:00,2020-01-06 11:55:30,0.5
17,하양역,2020-01-06 12:10:00,2020-01-06 12:08:08,-1.87
17,대구대정문 건너,2020-01-06 12:25:00,2020-01-06 12:20:56,-4.07
18,대구대정문 건너,2020-01-02 10:12:00,2020-01-02 10:10:53,-1.12
18,하양역 건너,2020-01-02 10:22:00,2020-01-02 10:22:23,0.38
18,상공회의소건너,2020-01-02 11:32:00,2020-01-02 11:35:09,3.15
18,안심역(4번출구),2020-01-02 12:12:00,2020-01-02 12:15:26,3.43
18,하양역,2020-01-02 12:27:00,2020-01-02 12:27:30,0.5
18,대구대정문 건너,2020-01-02 12:42:00,2020-01-02 12:34:24,-7.6
18,대구대정문 건너,2020-01-03 10:12:00,2020-01-03 10:12:41,0.68
18,하양역 건너,2020-01-03 10:22:00,2020-01-03 10:26:14,4.23
18,상공회의소건너,2020-01-03 11:32:00,2020-01-03 11:39:03,7.05
18,안심역(4번출구),2020-01-03 12:12:00,2020-01-03 12:12:33,0.55
18,하양역,2020-01-03 12:27:00,2020-01-03 12:24:51,-2.15
18,대구대정문 건너,2020-01-03 12:42:00,2020-01-03 12:38:30,-3.5
18,대구대정문 건너,2020-01-06 10:12:00,2020-01-06 10:16:50,4.83
18,하양역 건너,2020-01-06 10:22:00,2020-01-06 10:27:46,5.77
18,상공회의소건너,2020-01-06 11:32:00,2020-01-06 11:32:27,0.45
18,안심역(4번출구),2020-01-06 12:12:00,2020-01-06 12:12:37,0.62
18,하양역,2020-01-06 12:27:00,2020-01-06 12:28:29,1.48
18,대구대정문 건너,2020-01-06 12:42:00,2020-01-06 12:41:02,-0.97
19,대구대정문 건너,2020-01-02 10:30:00,2020-01-02 10:28:27,-1.55
19,하양역 건너,2020-01-02 10:40:00,2020-01-02 10:40:11,0.18
19,상공회의소건너,2020-01-02 11:50:00,2020-01-02 11:50:18,0.3
19,안심역(4번출구),2020-01-02 12:30:00,2020-01-02 12:29:40,-0.33
19,하양역,2020-01-02 12:45:00,2020-01-02 12:42:21,-2.65
19,대구대정문 건너,2020-01-02 13:00:00,2020-01-02 12:55:36,-4.4
19,대구대정문 건너,2020-01-03 10:30:00,2020-01-03 10:33:58,3.97
19,하양역 건너,2020-01-03 10:40:00,2020-01-03 10:35:06,-4.9
19,상공회의소건너,2020-01-03 11:50:00,2020-01-03 11:47:27,-2.55
19,안심역(4번출구),2020-01-03 12:30:00,2020-01-03 12:32:26,2.43
19,하양역,2020-01-03 12:45:00,2020-01-03 12:48:22,3.37
